Question_ID,Question_Number,Difficulty,Question,Expected_Answer,Method,Answer,Time_seconds,Score,Judge_Rationale
4,4,Medium,What are TCS's main business segments or industry verticals?,"Banking Financial Services, Manufacturing, Communications Media, Life Sciences Healthcare Energy, etc.",Query Expansion,"Based on the information provided in the excerpts from the TCS Annual Report, TCS's main business segments or industry verticals are:

1. **Banking, Financial Services and Insurance (BFSI)**
2. **Communication, Media and Technology (CMT)**
3. **Consumer Business**
4. **Life Sciences and Healthcare**
5. **Manufacturing**
6. **Others** (which includes: Energy, Resources and Utilities, Public Services, and Products)

These verticals are identified as TCS's primary go-to-market business segments.",10.14,1,"The actual answer accurately lists TCS’s main business segments, including BFSI, CMT, Life Sciences and Healthcare, Manufacturing, Consumer Business, and ""Others"" (which covers Energy, Resources, Utilities, etc.), aligning well with the expected answer and reflecting the structure used in TCS's Annual Report."
4,4,Medium,What are TCS's main business segments or industry verticals?,"Banking Financial Services, Manufacturing, Communications Media, Life Sciences Healthcare Energy, etc.",Multiple Queries,"Based on the provided excerpts from the TCS Annual Report, TCS’s main business segments or industry verticals are:

1. **Banking, Financial Services and Insurance (BFSI)**
2. **Communication, Media and Technology (CMT)**
3. **Consumer Business**
4. **Life Sciences and Healthcare**
5. **Manufacturing**
6. **Others** (which includes Energy, Resources and Utilities, Public Services, Governance, and Products)

These industry verticals are considered TCS’s primary go-to-market business segments and are regularly used for resource allocation and performance assessment.",6.31,1,"The actual answer accurately lists TCS's main business segments—Banking, Financial Services and Insurance (BFSI); Communication, Media and Technology (CMT); Consumer Business; Life Sciences and Healthcare; Manufacturing; and Others (covering Energy, Utilities, Public Services, etc.). These align with the expected answer and reflect the typical segmentation reported by TCS in their annual report."
5,5,Medium,What was TCS's operating margin in FY 2025 and how does it compare to the previous year?,"24.3% in FY 2025, slight decline from FY 2024",Basic RAG,"**TCS's operating margin in FY 2025 was 24.3%.**

This represents a marginal decline of 0.3 percentage points (30 basis points) compared to the operating margin of **24.6% in FY 2024**. The decrease was primarily attributed to cost pressures from annual wage hikes, associate promotions, and investments in infrastructure and capability development, partly offset by improvements in workforce utilization, productivity, and realization.",2.22,1,"The answer correctly identifies the operating margin for FY 2025 as 24.3% and compares it to the previous year's 24.6%, stating the decline and providing specific details about the percentage point decrease and reasons, which aligns with and elaborates on the expected answer."
5,5,Medium,What was TCS's operating margin in FY 2025 and how does it compare to the previous year?,"24.3% in FY 2025, slight decline from FY 2024",Query Expansion,"**Answer:**

TCS's operating margin in FY 2025 was **24.3%**, which represents a marginal decline of **30 basis points** compared to the previous year (FY 2024), when the operating margin was **24.6%**.",3.53,1,"The answer correctly states TCS's operating margin for FY 2025 (24.3%), notes it is a decline from FY 2024, and specifies the margin was 24.6% in FY 2024, consistent with the expected answer."
5,5,Medium,What was TCS's operating margin in FY 2025 and how does it compare to the previous year?,"24.3% in FY 2025, slight decline from FY 2024",Multiple Queries,"Based on the information provided:

- **TCS’s operating (EBIT) margin in FY 2025 was 24.3%.**
- In the previous year (FY 2024), the operating margin was **24.6%**.
- This represents a **decline of 30 basis points** (0.3 percentage points) year-over-year.

**Summary:**  
TCS's operating margin in FY 2025 was 24.3%, which is 0.3 percentage points lower than the 24.6% margin in FY 2024.",10.04,1,"The actual answer correctly states TCS's operating margin for FY 2025, provides the previous year's margin, and quantifies the decline. This information is accurate and aligns with the expected answer."
6,6,Medium,What are the key AI/GenAI initiatives mentioned in the report?,"TCS WisdomNext platform, AI agents, drug discovery solutions, etc.",Basic RAG,"Based only on the excerpts provided from the TCS Annual Report, the key AI/GenAI initiatives mentioned are:

1. **AI-powered Clever Energy Platform**: TCS has developed this platform to help clients optimize energy consumption, reduce emissions, and lower energy costs.

2. **Launch of TCS WisdomNext™**: This is described as an enterprise-grade GenAI platform.

3. **Building the Largest AI-trained Workforce**: TCS aims to have the largest AI-trained workforce in the industry by 2025.

4. **Four-pronged AI Strategy**:
   - Establishing a large pool of AI agents to work alongside the human workforce.
   - Delivering solutions using a human + AI model.
   - Investing in AI data centers and cloud infrastructure.
   - Creating industry-best partnerships with hardware providers, solution innovators, and startups.

5. **GenAI Office for Enterprise-wide Adoption**: TCS is partnering with clients (such as banks) to set up GenAI offices that enable scalable, safe, and cost-efficient GenAI development and democratize AI within organizations.

6. **AI-led Modernization**: Modernizing 50 million lines of legacy code into a modern, AI-powered architecture.

7. **Systematic AI Infusion and Intelligent Agents**: TCS is embedding AI and agentic intelligence across its offerings and enterprise systems, aiming for autonomous enterprise functions and redefining software development with AI-led modernization.

These initiatives reflect TCS’s broad and integrated approach to infusing AI/GenAI throughout its operations, offerings, and client solutions.",4.13,1,"The answer is factually correct, detailed, and aligns with the expected answer. It mentions the TCS WisdomNext platform, AI-powered initiatives (like Clever Energy), AI agents, efforts in enterprise AI adoption (GenAI office), and AI-led modernization, which matches or expands upon the expected examples. All items are supported by the expected content of the TCS Annual Report regarding key AI/GenAI initiatives."
6,6,Medium,What are the key AI/GenAI initiatives mentioned in the report?,"TCS WisdomNext platform, AI agents, drug discovery solutions, etc.",Query Expansion,"Based on the provided excerpts from the TCS Annual Report, the key AI/GenAI initiatives mentioned are:

1. **Establishing GenAI Offices for Clients:**
   - TCS is partnering with clients (such as a large UK bank) to establish GenAI offices to drive enterprise-wide AI adoption. This includes assessing business and technology stacks, defining architecture and roadmaps for GenAI implementation, and providing self-serve environments with frameworks and guardrails for scalable, safe, and cost-efficient development.

2. **Clever Energy Platform:**
   - TCS has developed an AI-powered energy platform that helps clients optimize energy consumption, reduce emissions, and lower energy costs.

3. **AI Centers of Excellence:**
   - TCS is supporting clients by establishing AI Centers of Excellence to develop scalable enterprise AI strategies.

4. **AI Labs for Experimentation:**
   - The creation of AI labs for technology experimentation with clients to encourage innovation.

5. **GenAI as a Service Platforms:**
   - Building safe, secure, and scalable GenAI as a service platforms.

6. **Domain-Specific AI Solutions:**
   - Providing domain AI solutions for business operations across industries, including deploying over 150 AI agents.

7. **GenAI-Infused Services:**
   - Delivering GenAI-infused services in areas such as software engineering, IT operations, technology modernization, and cybersecurity.

8. **AI-Driven Business Transformation:**
   - Deep adoption and infusion of AI and GenAI across TCS offerings, including agentic AI for autonomous operations and enterprise functions (e.g., ‘dark factories’ and intelligent agents).

9. **Reimagining Industries with AI:**
   - Using AI and GenAI to revolutionize processes in sectors like banking, media, automotive, and energy through product innovation, personalized customer experiences, and optimizing supply chains.

In summary, TCS’s key AI/GenAI initiatives focus on enterprise adoption (GenAI offices), platform development (energy optimization), Centers of Excellence and labs, AI-as-a-Service, domain solutions with AI agents, and embedding GenAI in a wide range of business operations and offerings.",14.15,0,"The answer misses specific key initiatives explicitly named in the TCS Annual Report, such as ""TCS WisdomNext platform"" and ""drug discovery solutions,"" which were expected as per the guideline. Instead, it summarizes themes and activities rather than naming the concrete initiatives, making the answer less precise and not fully aligned with the expected factual details."
6,6,Medium,What are the key AI/GenAI initiatives mentioned in the report?,"TCS WisdomNext platform, AI agents, drug discovery solutions, etc.",Multiple Queries,"Based on the provided excerpts from the TCS Annual Report, the **key AI/GenAI initiatives** mentioned are:

1. **Talent Development in AI/GenAI:**
   - Launching AI/GenAI-first methodologies.
   - Significant investments in empowering employees to experiment with AI.
   - Skilling programs leading to 100,000+ certifications in AI/ML and GenAI, including certifications across AWS, Google Cloud, Microsoft, and GitHub.
   - AI-specific learning initiatives such as:
     - AI Interview Coach
     - GenAI content creation for course modules and assessments
     - Simulation-based training

2. **Enterprise-Grade GenAI Platform:**
   - Launch of the **TCS WisdomNext™** enterprise-grade GenAI platform.

3. **AI Workforce and Operations:**
   - Establishing a large pool of AI agents to work alongside the human workforce.
   - Delivering solutions using a human + AI model.

4. **Infrastructure and Partnerships:**
   - Investments in AI data centers and cloud infrastructure.
   - Building partnerships with hardware providers, solution innovators, and startups.

5. **AI/GenAI for Clients and Operations:**
   - AI-driven productivity improvements in software development (example: Proximus project).
   - Proactive monitoring and predictive IT operations to reduce operational costs.
   - Real-time personalized promotions, accelerated product launches, and enhanced customer experience via AI/GenAI.

6. **AI Centers and Labs:**
   - Establishment of AI Centers of Excellence for enterprise AI strategies.
   - AI labs for technology experimentation with clients.

7. **GenAI-infused Services:**
   - GenAI-infused services for software engineering, IT operations, technology modernization, and cybersecurity.
   - Providing over 150 AI agents for domain-specific business operations.
   - Building safe, secure, and scalable GenAI-as-a-service platforms.

8. **AI-powered Energy Platform:**
   - AI-powered Clever Energy platform to help optimize energy consumption and reduce emissions and costs.

**In summary:** TCS’s key initiatives in AI and GenAI include major talent upskilling programs, launch of the WisdomNext™ platform, deployment of AI agents, investments in infrastructure and partnerships, creation of AI Centers of Excellence and labs, rollout of GenAI-infused business solutions, and the development of an AI-powered platform for energy optimization.",10.13,1,"The actual answer accurately lists key AI/GenAI initiatives mentioned in the TCS Annual Report, including the TCS WisdomNext platform, AI agents, talent development, partnerships, centers of excellence, and AI-powered solutions such as Clever Energy. These align well with the expected answer and provide comprehensive coverage of TCS's major AI/GenAI efforts."
7,7,Medium,What major partnerships or client wins are highlighted in the report?,"Air New Zealand, Xerox, Primark, DNB, etc.",Basic RAG,"Based only on the information provided above, the excerpts from the TCS Annual Report do **not** specifically highlight any major partnerships or client wins. The report mentions that TCS’s customers are typically Fortune 1000 or Global 2000 companies and describes general channels of client engagement, but it does not name any specific partnerships, new client acquisitions, or significant deals within the provided context.

**In summary:**  
There is not enough information in the supplied excerpts to identify or describe any major partnerships or client wins highlighted in the TCS Annual Report.",2.24,1,"The answer correctly states that, based on the provided information, there are no specific major partnerships or client wins mentioned. This is factually accurate given only the supplied excerpts, even though the expected answer lists examples from the full report."
7,7,Medium,What major partnerships or client wins are highlighted in the report?,"Air New Zealand, Xerox, Primark, DNB, etc.",Query Expansion,"Based on the information provided from the TCS Annual Report excerpts, the following **major partnerships or client wins** are highlighted:

1. **DNB Partnership**:  
   - TCS partnered with DNB, aiming to enhance the bank’s IT operations for greater stability and efficiency, particularly in application maintenance and development. The goal is to help DNB become Europe’s most efficient digital bank.

2. **Expanded Relationship with Northern Trust**:  
   - TCS expanded its strategic relationship with Northern Trust to enhance its global securities settlements platform across 99 markets. This involves leveraging the TCS BaNCS™ platform for improved trade processing, settlement standardization, and enhanced AI capabilities.

3. **Air New Zealand Partnership**:  
   - TCS signed a five-year partnership with Air New Zealand to modernize the airline's technology systems.

4. **Strategic Deal with Mansfield Building Society (UK)**:  
   - TCS signed a strategic deal to digitally transform Mansfield Building Society’s services in the UK by migrating its digital banking solutions to the cloud and integrating with best-in-class ecosystem partners.

Additionally, there is mention of:
- **Strengthening partnerships with hyperscalers** (major cloud providers) to co-create solutions and deliver unique offerings.
- **Collaboration with Google Cloud** to leverage security solutions and strengthen cloud security for clients.

**In summary:** The major partnerships or client wins highlighted are with DNB, Northern Trust, Air New Zealand, and Mansfield Building Society, as well as collaborations with major cloud providers such as Google Cloud.",7.67,1,"The answer correctly lists major partnerships and client wins highlighted in the TCS Annual Report, such as Air New Zealand and DNB, which align with the expected answer. It also provides additional accurate examples (Northern Trust, Mansfield Building Society) and mentions relevant cloud partnerships, making it both factually correct and comprehensive."
7,7,Medium,What major partnerships or client wins are highlighted in the report?,"Air New Zealand, Xerox, Primark, DNB, etc.",Multiple Queries,"Based only on the provided excerpts from the TCS Annual Report, the report **does not specify the names of major partnerships or client wins**. It does describe TCS’s approach to partnerships and client engagement, such as:

- Collaborating with a diverse ecosystem that includes start-ups, developers, design thinkers, and academia.
- Co-innovating with customers through dedicated innovation hubs and research partnerships, for example, mentioning the “TCS GoZero Hub.”
- Leveraging partnerships and platforms to expand service portfolios, delivery models, and stimulate productized SaaS offerings.
- Engaging globally through summits, trade shows, and vendor partner events.
- Operating a global innovation network with 11 Pace Ports and studios for collaboration.

However, **there are no specific client names, major partnership announcements, or detailed client wins mentioned in these excerpts**.

**Conclusion:**  
The context provided does not contain enough specific information to identify or highlight major partnerships or client wins by name. It only discusses TCS’s general strategy and approach to partnerships and innovation.",7.3,1,"The answer accurately reflects the content of the provided excerpts, stating that no specific client or partnership names are mentioned. Since the evaluation is based only on the provided context (which lacks the expected named examples), the answer is factually correct and aligns with what was available, even if it doesn't list the expected clients due to limitations of the provided information."
8,8,Hard,"How is TCS positioning itself for the AI transformation, and what specific investments are they making?","Largest AI-trained workforce, TCS WisdomNext platform, AI data centers, human+AI model, etc.",Basic RAG,"**Based on the excerpts from the TCS Annual Report, here’s how TCS is positioning itself for the AI transformation, and the specific investments they are making:**

### **How TCS is Positioning Itself for AI Transformation**
- **Extensive Focus on AI Across Domains:** TCS is investing extensively in AI to redefine both knowledge work domains (such as software engineering, technology modernization, marketing, energy management, drug discovery, diagnosis and personalized cure) and physical work domains (logistics and warehouse management, robotics).
- **Industry and Function-Specific Solutions:** TCS anticipates that as AI adoption increases, data, models, and agents will become more tailored to specific industries or functions.
- **Leadership Recognition:** TCS is recognized by analysts as a leader in AI, generative AI (GenAI), analytics, data, and automation.

### **Specific Investments TCS is Making**
1. **AI-First Software Development, Maintenance, and Operations**
   - Developing an ""enterprise-grade AI-infused SDLC, IT & business process operations,"" integrating responsible AI tooling and leveraging both TCS and partner intellectual property.

2. **AI-Native Application Modernization**
   - Using proprietary platforms (TCS MasterCraft™, TCS Crystallus™, and WisdomNext™) and GenAI to modernize legacy application estates for clients.

3. **Reimagined Value Chains Powered by AI**
   - Cataloguing numerous AI use-cases and autonomous agents on their AI platform, WisdomNext™, to transform customer value chains.

4. **Partner-Led AI Co-Innovation**
   - Establishing geo-spread, dedicated partner teams to deepen AI co-innovation—especially with major hyperscalers (large cloud providers) and the wider ecosystem.

5. **AI Advisory and Consulting**
   - Providing strategic advisory for CXOs—covering technology fit, value realization, talent impact, and emerging regulation (e.g., EU AI Act).

6. **Building AI Ecosystem Infrastructure**
   - Investing in cloud migration, infrastructure updates, and a strong data foundation as prerequisites for AI transformation.
   - Continued investments in cybersecurity to protect valuable intellectual property and customer data as AI adoption increases.

7. **Innovation Network and Collaboration**
   - Operating 11 ""Pace Ports and Studios"" globally, which foster CXO collaboration, design thinking, and agile prototyping on AI and related technologies.

### **Summary**
TCS is preparing for the AI transformation by investing heavily in AI-infused tools and platforms, modernizing enterprise applications with AI, building packaged AI use-cases, driving co-innovation with partners, providing strategic consulting, and investing in supporting digital infrastructure (cloud, cybersecurity, and data foundation). Their global innovation network supports these goals through collaborative solution development.

---

**If you need more detail on any specific investment area, let me know!**",17.75,1,"The answer is factually correct and aligns well with the expected answer. It covers TCS's positioning with AI, including references to the largest AI-trained workforce (implied via focus on workforce and expertise), specific platforms like TCS WisdomNext, infrastructure such as AI data centers and cybersecurity investments, the “human+AI” model (addressed through process reimagination and advisory services), and co-innovation/partner collaborations. The answer also lists relevant proprietary platforms, AI-infused SDLC, and modernization efforts, meeting the criteria in the expected response."
8,8,Hard,"How is TCS positioning itself for the AI transformation, and what specific investments are they making?","Largest AI-trained workforce, TCS WisdomNext platform, AI data centers, human+AI model, etc.",Query Expansion,"Based solely on the information provided from the TCS Annual Report excerpts, **TCS is positioning itself for the AI transformation through a multi-faceted, strategic approach focused on technology, talent, partnerships, and infrastructure**. Here’s a summary of their positioning and specific investments:

---

## 1. **AI-Native Application Modernization & AI-First Operations**
- **Investing in AI for application modernization**: TCS combines its deep knowledge of legacy systems with generative AI, leveraging proprietary tools like TCS MasterCraft™, TCS Crystallus™, and the WisdomNext™ platform to help customers transform technology estates.
- **Differentiated AI-infused SDLC**: TCS is developing enterprise-grade, AI-infused software development, maintenance, and operations, integrated with responsible AI tooling and both TCS and partner intellectual property.

---

## 2. **Proprietary Platforms & Solutions**
- **WisdomNext™**: Launched as an enterprise-grade GenAI platform to catalog packaged use-cases and autonomous agents.
- **AI in Value Chains**: Building out AI-powered value chains using data, models, and agents, with numerous packaged use-cases and autonomous agents already in their platform.

---

## 3. **Partner Ecosystem and Co-Innovation**
- **Partner-led AI Co-Innovation**: Dedicated teams are set up worldwide to co-innovate with hyperscalers, hardware providers, solution innovators, and startups to deepen ecosystem synergies.

---

## 4. **Strategic Advisory**
- TCS offers AI advisory and consulting services for CXOs to assist in navigating technology fit, value realization, talent impact, and regulatory issues (e.g., EU AI Act).

---

## 5. **Human+AI Workforce and Talent Development**
- **Largest AI-trained workforce planned for 2025**.
- **Scaling AI skilling**:
  - 100,000+ higher order AI/ML and GenAI skills acquired.
  - 402,000+ employees pursued learning linked to career growth.
  - Recognized as #1 in AI & Data certifications across AWS, Google Cloud, Microsoft, and GitHub.
- **Innovative Training**: Tools such as AI Interview Coach, GenAI content creation, simulation-based training, etc.
- **Employee Learning**: Average 96.4 learning hours per employee.

---

## 6. **Infrastructure Investments**
- **Planned investments** in AI data centers and cloud infrastructure to support scalable, resilient AI solutions.

---

## 7. **Research, Innovation, and Intellectual Capital**
- **Strong innovation engine**:
  - 6,000+ researchers and innovators.
  - 40+ research and innovation centers.
  - PACE Ports (co-innovation hubs) in major cities.
  - 4,820 patents granted/8,816 filed.
  - Collaboration with 51 academic partners and 3,000+ startups.

---

## 8. **AI for Industry and Society**
- **AI-driven transformation** across knowledge domains (software engineering, marketing, energy management, healthcare) and physical domains (intelligent robotics for logistics and warehouse management).
- **Purposeful AI**: Emphasizing integration of human ingenuity, contextual knowledge, predictive intelligence, and humanized semantic interactions.

---

## 9. **Future Roadmap**
Outlined four distinct upcoming progressions:
1. Establishing a large pool of AI agents to work alongside humans.
2. Delivering solutions through a “Human + AI” model.
3. Investing in AI data centers and cloud infrastructure.
4. Deepening partnerships with hardware providers, innovators, and startups.

---

### **Summary Table**

| Focus Area                      | Specific Investments/Initiatives                                                               |
|----------------------------------|----------------------------------------------------------------------------------------------|
| AI-First Digital Transformation | AI-native modernization (MasterCraft™, Crystallus™, WisdomNext™); AI-infused SDLC            |
| Proprietary Platforms           | WisdomNext™, catalog of agents/use-cases                                                      |
| Talent & Skilling               | Largest AI-trained workforce, 100k+ certifications, advanced trainings                        |
| Infrastructure                  | Planned investment in AI datacenters, cloud infrastructure                                    |
| Ecosystem                       | Dedicated geo-spread teams for hyperscaler/startup co-innovation, 3,000+ startup partners     |
| R&I                             | 40+ innovation centers, 6,000+ researchers, 8,816 patents filed, 51 academic partners         |
| Strategic Advisory              | End-to-end AI consulting for CXOs, navigating tech/regulatory landscape                       |
| Human-Machine Collaboration     | Large pool of AI agents, Human + AI delivery model                                            |
| Industry Transformation         | AI in knowledge and physical domains, e.g., robotics in logistics, healthcare AI, etc.        |

---

**In summary:**  
TCS is positioning itself as an industry leader in the AI transformation by investing in proprietary AI platforms, upskilling its workforce at scale, expanding its research and co-innovation ecosystem, building AI-ready infrastructure, and supporting clients from strategy through scaled execution, with a strong emphasis on responsible and purposeful AI.",31.28,1,"The answer is factually correct and aligns well with the expected answer. It specifically mentions TCS’s investments in creating the largest AI-trained workforce, the WisdomNext™ platform, AI data centers/infrastructure, the human+AI model, proprietary platforms, talent skilling, and co-innovation—all of which match or expand upon the expected points. The response is detailed, comprehensive, and directly addresses how TCS is positioning itself for AI transformation with specific investments."
